id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
porsche-taycan-4-ct-2026,Porsche,Taycan,2026,4 Cross Turismo,sedan,5,118100,USD,446,epa,97,nmc,224,320,18,awd,320,609,4.8,220,4974,1966,1410,2904,145,446,81,,2310,9.6,ccs,false,true,,
porsche-taycan-4s-ct-2026,Porsche,Taycan,2026,4S Cross Turismo,sedan,5,133000,USD,438,epa,97,nmc,230,320,18,awd,440,709,3.9,240,4974,1966,1410,2904,145,446,81,,2320,9.6,ccs,false,true,,
porsche-taycan-gts-st-2026,Porsche,Taycan,2026,GTS Sport Turismo,sedan,5,158900,USD,449,epa,97,nmc,224,320,18,awd,515,789,3.4,250,4974,1966,1392,2900,127,446,81,,2310,9.6,ccs,false,true,,
porsche-taycan-turbo-ct-2026,Porsche,Taycan,2026,Turbo Cross Turismo,sedan,5,187400,USD,373,epa,97,nmc,267,320,18,awd,650,889,2.9,250,4974,1966,1413,2904,145,446,81,,2340,9.6,ccs,false,true,,
porsche-taycan-turbo-s-ct-2026,Porsche,Taycan,2026,Turbo S Cross Turismo,sedan,5,224300,USD,357,epa,97,nmc,280,320,18,awd,700,1109,2.7,250,4974,1966,1408,2904,145,446,81,,2350,9.6,ccs,false,true,,
porsche-macan-electric-2026,Porsche,Macan Electric,2026,Base RWD,crossover,5,82650,USD,534,epa,95,nmc,211,270,21,rwd,265,563,5.7,220,4784,1938,1624,2893,185,540,84,2500,2220,11,ccs,true,true,,
porsche-macan-4-electric-2026,Porsche,Macan Electric,2026,4 AWD,crossover,5,86350,USD,521,epa,95,nmc,211,270,21,awd,300,650,5.2,220,4784,1938,1624,2893,186,540,84,2500,2330,11,ccs,true,true,,
porsche-macan-4s-electric-2026,Porsche,Macan Electric,2026,4S AWD,crossover,5,92250,USD,467,epa,95,nmc,230,270,21,awd,380,820,4.2,240,4784,1938,1624,2893,185,540,84,2500,2390,11,ccs,true,true,,
porsche-macan-gts-electric-2026,Porsche,Macan Electric,2026,GTS AWD,crossover,5,107650,USD,473,epa,95,nmc,230,270,21,awd,420,955,3.9,250,4805,1938,1613,2893,174,476,84,2500,2395,11,ccs,true,true,,
porsche-macan-turbo-electric-2026,Porsche,Macan Electric,2026,Turbo AWD,crossover,5,115050,USD,472,epa,95,nmc,236,270,21,awd,470,1130,3.4,261,4784,1938,1621,2893,185,540,84,2500,2448,11,ccs,true,true,,
maserati-grecale-folgore-2026,Maserati,Grecale Folgore,2026,AWD,crossover,5,119900,USD,394,epa,98.6,nmc,280,150,40,awd,410,820,4.2,220,4865,1948,1651,2903,167,535,,,2555,22,ccs,false,false,,
maserati-granturismo-folgore-2026,Maserati,GranTurismo Folgore,2026,AWD,sedan,4,197195,USD,389,epa,83,nmc,267,270,18,awd,560,1350,3.0,325,4959,1957,1353,2929,,270,,,2335,22,ccs,false,true,,
maserati-grancabrio-folgore-2026,Maserati,GranCabrio Folgore,2026,AWD,sedan,4,209195,USD,375,epa,83,nmc,280,270,19,awd,560,1350,3.1,290,4966,1957,1365,2929,145,151,,,2415,22,ccs,false,false,,
nissan-leaf-75-2026,Nissan,LEAF,2026,S+ 75kWh,suv,5,29990,USD,488,epa,72,nmc,174,150,30,fwd,160,355,,160,4350,1810,1550,2650,135,,,,1883,7.2,nacs,true,true,,
nissan-ariya-fwd-63-2025,Nissan,ARIYA,2025,Engage FWD 63kWh,crossover,5,39770,USD,348,epa,63,nmc,205,130,35,fwd,160,300,,160,4646,1900,1662,2776,160,645,,680,1960,7.4,ccs,false,false,,
nissan-ariya-fwd-87-2025,Nissan,ARIYA,2025,Evolve+ FWD 87kWh,crossover,5,44370,USD,465,epa,87,nmc,211,130,40,fwd,178,330,,160,4646,1900,1662,2776,160,645,,680,2090,7.4,ccs,false,false,,
nissan-ariya-e4orce-63-2025,Nissan,ARIYA,2025,Engage e-4ORCE 63kWh,crossover,5,43770,USD,330,epa,63,nmc,218,130,35,awd,250,560,5.3,200,4646,1900,1662,2776,160,645,,680,2060,7.4,ccs,false,false,,
nissan-ariya-e4orce-87-2025,Nissan,ARIYA,2025,Engage+ e-4ORCE 87kWh,crossover,5,45370,USD,438,epa,87,nmc,230,130,40,awd,250,560,5.3,200,4646,1900,1662,2776,160,645,,680,2222,7.4,ccs,false,false,,
nissan-ariya-platinum-e4orce-2025,Nissan,ARIYA,2025,Platinum+ e-4ORCE 87kWh,crossover,5,54370,USD,430,epa,87,nmc,230,130,38,awd,290,600,5.1,200,4646,1900,1662,2776,160,645,,680,2294,7.4,ccs,false,false,,
toyota-bz-fwd-2026,Toyota,bZ,2026,XLE FWD,suv,5,34900,USD,380,epa,57.7,nmc,162,150,28,fwd,125,268,,160,4689,1859,1651,2850,208,784,,,1840,11,nacs,false,true,,
toyota-bz-awd-2026,Toyota,bZ,2026,XLE AWD,suv,5,39900,USD,463,epa,74.7,nmc,174,150,28,awd,252,537,5.2,160,4689,1859,1651,2850,208,784,,1590,1985,11,nacs,false,true,,
