id,manufacturer,model,model_year,variant,segment,seats,price_local,currency,range_km,range_rating,battery_capacity_kwh,battery_chemistry,efficiency_wh_km,fast_charge_kw,charge_10_80_min,drivetrain,power_kw,torque_nm,acceleration_0_100_s,top_speed_kmh,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,cargo_volume_l,frunk_volume_l,towing_capacity_kg,curb_weight_kg,onboard_charger_kw,charge_port_type,v2l_capable,plug_and_charge,range_city_km,range_highway_km
hyundai-ioniq5-n-2026,Hyundai,IONIQ 5 N,2026,AWD,crossover,5,80000,CAD,356,epa,84,nmc,236,350,18,awd,448,740,3.4,260,4655,1890,1615,3000,,490,57,,2270,11,ccs,true,false,,
hyundai-ioniq6-lr-rwd-2026,Hyundai,IONIQ 6,2026,Long Range RWD,sedan,5,55999,CAD,581,epa,77.4,nmc,133,263,18,rwd,168,350,7.4,185,4855,1880,1495,2950,,401,45,1500,1985,11,ccs,true,false,,
hyundai-ioniq6-lr-awd-2026,Hyundai,IONIQ 6,2026,Long Range AWD,sedan,5,63999,CAD,509,epa,77.4,nmc,152,263,18,awd,239,605,5.1,185,4855,1880,1495,2950,,401,45,1500,2090,11,ccs,true,false,,
hyundai-kona-electric-2026,Hyundai,KONA Electric,2026,FWD,crossover,5,47999,CAD,420,epa,65.4,nmc,156,105,37,fwd,160,255,7.8,172,4355,1825,1575,2660,,466,27,750,1773,11,ccs,true,false,,
kia-ev5-lr-fwd-2026,Kia,EV5,2026,Long Range FWD,crossover,5,43495,CAD,400,epa,81.4,nmc,204,150,30,fwd,160,295,8.4,165,4610,1875,1675,2750,,566,44,1200,2069,11,ccs,true,false,,
kia-ev5-lr-awd-2026,Kia,EV5,2026,Long Range AWD,crossover,5,53495,CAD,360,epa,81.4,nmc,226,150,30,awd,230,460,6.0,175,4610,1875,1675,2750,,566,44,1200,2150,11,ccs,true,false,,
kia-ev6-lr-rwd-2026,Kia,EV6,2026,Long Range RWD,crossover,5,50495,CAD,514,epa,84,nmc,163,233,18,rwd,168,350,7.3,185,4695,1880,1550,2900,,490,20,1600,1985,11,ccs,true,false,,
kia-ev6-lr-awd-2026,Kia,EV6,2026,Long Range AWD,crossover,5,57495,CAD,475,epa,84,nmc,177,233,17,awd,239,605,5.2,188,4695,1880,1575,2900,,490,20,1800,2160,11,ccs,true,false,,
kia-ev6-gt-2026,Kia,EV6 GT,2026,GT AWD,crossover,5,76995,CAD,372,epa,84,nmc,226,350,18,awd,478,740,3.5,260,4695,1880,1545,2900,,490,20,1600,2155,11,ccs,true,false,,
kia-ev9-lr-awd-2026,Kia,EV9,2026,Long Range AWD,suv,7,74995,CAD,455,epa,99.8,nmc,219,270,24,awd,283,700,5.3,200,5010,1980,1755,3100,,333,,2500,2650,11,ccs,true,false,,
kia-niro-ev-2026,Kia,Niro EV,2026,FWD,crossover,5,41995,CAD,407,epa,64.8,nmc,159,94,41,fwd,150,255,7.8,167,4420,1825,1570,2720,,475,20,750,1757,11,ccs,true,false,,
lexus-es350e-fwd-2026,Lexus,ES Electric,2026,ES350e FWD,sedan,5,68000,CAD,480,epa,77,nmc,160,150,30,fwd,164,,,200,,,,,,,,,,,nacs,false,false,,
lexus-rz450e-2026,Lexus,RZ 450e,2026,AWD,suv,5,72350,CAD,354,epa,71.4,nmc,202,150,30,awd,230,435,5.6,160,4805,1895,1635,2850,,522,,,2100,11,nacs,false,false,,
lucid-air-grand-touring-2026,Lucid,Air,2026,Grand Touring AWD,sedan,5,185000,CAD,824,epa,117,nmc,142,300,22,awd,597,1047,3.0,270,4975,1969,1410,2954,,456,283,,2250,19.2,ccs,false,true,,
mercedes-eqb-250plus-2026,Mercedes-Benz,EQB,2026,250+,suv,5,57300,CAD,404,epa,70.5,nmc,174,100,35,fwd,140,385,8.9,160,4684,1834,1667,2829,,495,,,2105,11,ccs,false,true,,
mercedes-eqe-350-sedan-2026,Mercedes-Benz,EQE,2026,350 4MATIC Sedan,sedan,5,85600,CAD,496,epa,90.6,nmc,183,170,31,awd,215,565,6.3,210,4946,1961,1512,3120,,430,,,2430,11,ccs,false,true,,
mercedes-eqe-350-suv-2026,Mercedes-Benz,EQE SUV,2026,350+ 4MATIC,suv,5,91000,CAD,486,epa,90.6,nmc,186,170,32,awd,215,565,6.2,210,4879,1931,1685,3030,,520,,1800,2590,11,ccs,false,true,,
mercedes-eqs-450plus-sedan-2026,Mercedes-Benz,EQS,2026,450+ Sedan,sedan,5,122000,CAD,628,epa,118,nmc,188,200,33,rwd,265,568,6.2,210,5223,1926,1518,3210,,620,,,2545,11,ccs,false,true,,
mercedes-eqs-450-suv-2026,Mercedes-Benz,EQS SUV,2026,450 4MATIC,suv,5,136000,CAD,502,epa,118,nmc,235,200,33,awd,265,800,6.1,210,5125,2034,1721,3030,,645,,1800,2805,11,ccs,false,true,,
mini-cooper-se-2026,MINI,Cooper SE,2026,3-Door FWD,hatchback,4,40990,CAD,270,epa,54.2,nmc,201,95,30,fwd,160,330,7.3,160,3858,1728,1434,2495,,211,,,1395,22,nacs,false,false,,
mini-aceman-e-2026,MINI,Aceman,2026,E FWD,crossover,4,42990,CAD,280,epa,54.2,nmc,194,95,30,fwd,160,230,7.6,160,4073,1758,1460,2606,,300,,,1510,22,nacs,false,false,,
nissan-ariya-fwd-2026,Nissan,Ariya,2026,FWD 87 kWh,crossover,5,59998,CAD,478,epa,87,nmc,182,130,30,fwd,178,300,7.5,160,4595,1850,1659,2775,180,490,,,1993,22,ccs,false,false,,
nissan-ariya-awd-2026,Nissan,Ariya,2026,e-4ORCE AWD,crossover,5,66998,CAD,428,epa,87,nmc,203,130,30,awd,290,600,5.7,200,4595,1850,1659,2775,180,490,,,2162,22,ccs,false,false,,
nissan-leaf-fwd-2026,Nissan,LEAF,2026,FWD,crossover,5,52000,CAD,420,epa,70,nmc,167,150,30,fwd,160,280,7.5,160,,,,,,,,,,,ccs,false,false,,
polestar-2-sm-lr-2026,Polestar,2,2026,Single Motor Long Range,sedan,5,59900,CAD,519,epa,82,nmc,158,205,28,rwd,220,490,6.4,205,4606,1859,1481,2735,,405,40,,2066,11,nacs,false,true,,
polestar-2-dm-2026,Polestar,2,2026,Dual Motor Performance,sedan,5,72900,CAD,478,epa,82,nmc,172,205,28,awd,350,740,4.5,205,4606,1859,1481,2735,,405,40,,2215,11,nacs,false,true,,
polestar-3-lr-awd-2026,Polestar,3,2026,Long Range Dual Motor,suv,5,96900,CAD,547,epa,111,nmc,203,250,30,awd,360,840,4.8,210,4900,2120,1614,2985,164,484,,2000,2584,11,nacs,false,true,,
polestar-4-lr-awd-2026,Polestar,4,2026,Long Range Dual Motor,crossover,5,79900,CAD,515,epa,100,nmc,194,200,23,awd,320,686,3.8,200,4839,2139,1544,2999,174,526,,,2301,22,nacs,false,true,,
porsche-taycan-rwd-2026,Porsche,Taycan,2026,RWD Performance Battery Plus,sedan,4,128500,CAD,449,epa,105,nmc,234,270,23,rwd,300,345,5.4,230,4963,1966,1381,2900,,407,84,,2355,11,ccs,false,true,,
porsche-taycan-4s-2026,Porsche,Taycan,2026,4S AWD,sedan,4,136200,CAD,396,epa,105,nmc,265,270,23,awd,490,710,4.0,250,4963,1966,1381,2900,,407,84,,2465,11,ccs,false,true,,
porsche-macan-ev-rwd-2026,Porsche,Macan EV,2026,RWD,suv,5,98000,CAD,507,epa,100,nmc,197,150,21,rwd,280,563,5.7,220,4784,1938,1622,2893,190,540,84,,2155,11,ccs,false,true,,
porsche-macan-ev-turbo-2026,Porsche,Macan EV,2026,Turbo AWD,suv,5,131000,CAD,464,epa,100,nmc,216,270,21,awd,470,1130,3.3,260,4784,1938,1622,2893,190,540,84,,2295,11,ccs,false,true,,
rivian-r1t-large-2026,Rivian,R1T,2026,Large Pack AWD,truck,5,79900,CAD,483,epa,108.5,nmc,225,220,35,awd,533,1625,3.0,201,5558,2030,1806,3453,425,1110,314,4990,2869,11.5,nacs,true,false,,
rivian-r1s-large-2026,Rivian,R1S,2026,Large Pack AWD,suv,7,89900,CAD,530,epa,108.5,nmc,205,220,35,awd,533,1625,3.0,201,5100,2030,1803,3453,234,1050,114,3500,2870,11.5,nacs,true,false,,
subaru-solterra-awd-2026,Subaru,Solterra,2026,AWD,suv,5,57995,CAD,365,epa,71.4,nmc,196,150,30,awd,160,337,6.9,160,4690,1860,1650,2850,,452,,,2100,6.6,nacs,false,false,,
